[14:26:29] [Clear] 로그 파일 및 내역이 초기화되었습니다.
[14:26:58] [System] 기존 데이터 0개 로드됨
[14:26:58] [System] 세션 복구 완료 (23초 경과 적용)
[14:27:19] [입고] 랜덤 상품 300개 완료
[14:27:31] [설정] 배속 x360 적용
[15:27:31] [만료 발생] [D_0015] 도시락
[15:27:31] [만료 발생] [I_0018] 아이스크림
[15:27:31] [만료 발생] [G_0003] 생수
[16:27:31] [만료 발생] [A_0026] 김밥
[16:27:31] [만료 발생] [G_0001] 생수
[14:32:51] [System] 기존 데이터 300개 로드됨
[22:27:31] [System] 세션 복구 완료 (296초 경과 적용)
[22:27:31] [만료 발생] [I_0002] 아이스크림
[22:27:31] [만료 발생] [C_0001] 우유
[22:27:31] [만료 발생] [C_0003] 우유
[22:27:31] [만료 발생] [J_0003] 커피
[22:27:31] [만료 발생] [A_0004] 김밥
[22:27:31] [만료 발생] [J_0004] 커피
[22:27:31] [만료 발생] [I_0003] 아이스크림
[22:27:31] [만료 발생] [I_0005] 아이스크림
[22:27:31] [만료 발생] [H_0002] 과자
[22:27:31] [만료 발생] [E_0004] 컵라면
[22:27:31] [만료 발생] [F_0003] 콜라
[22:27:31] [만료 발생] [E_0005] 컵라면
[22:27:31] [만료 발생] [C_0006] 우유
[22:27:31] [만료 발생] [C_0007] 우유
[22:27:31] [만료 발생] [G_0005] 생수
[22:27:31] [만료 발생] [J_0009] 커피
[22:27:31] [만료 발생] [I_0011] 아이스크림
[22:27:31] [만료 발생] [I_0013] 아이스크림
[22:27:31] [만료 발생] [A_0010] 김밥
[22:27:31] [만료 발생] [H_0006] 과자
[22:27:31] [만료 발생] [A_0011] 김밥
[22:27:31] [만료 발생] [H_0008] 과자
[22:27:31] [만료 발생] [I_0015] 아이스크림
[22:27:31] [만료 발생] [H_0009] 과자
[22:27:31] [만료 발생] [F_0009] 콜라
[22:27:31] [만료 발생] [E_0008] 컵라면
[22:27:31] [만료 발생] [D_0005] 도시락
[22:27:31] [만료 발생] [H_0011] 과자
[22:27:31] [만료 발생] [F_0010] 콜라
[22:27:31] [만료 발생] [B_0004] 샌드위치
[22:27:31] [만료 발생] [F_0012] 콜라
[22:27:31] [만료 발생] [G_0009] 생수
[22:27:31] [만료 발생] [J_0012] 커피
[22:27:31] [만료 발생] [H_0012] 과자
[22:27:31] [만료 발생] [H_0013] 과자
[22:27:31] [만료 발생] [F_0013] 콜라
[22:27:31] [만료 발생] [G_0012] 생수
[22:27:31] [만료 발생] [F_0015] 콜라
[22:27:31] [만료 발생] [H_0015] 과자
[22:27:31] [만료 발생] [B_0010] 샌드위치
[22:27:31] [만료 발생] [D_0008] 도시락
[22:27:31] [만료 발생] [I_0022] 아이스크림
[22:27:31] [만료 발생] [F_0017] 콜라
[22:27:31] [만료 발생] [E_0014] 컵라면
[22:27:31] [만료 발생] [G_0013] 생수
[22:27:31] [만료 발생] [C_0014] 우유
[22:27:31] [만료 발생] [E_0016] 컵라면
[22:27:31] [만료 발생] [F_0019] 콜라
[22:27:31] [만료 발생] [D_0011] 도시락
[22:27:31] [만료 발생] [A_0021] 김밥
[22:27:31] [만료 발생] [F_0021] 콜라
[22:27:31] [만료 발생] [F_0023] 콜라
[22:27:31] [만료 발생] [D_0013] 도시락
[22:27:31] [만료 발생] [C_0017] 우유
[22:27:31] [만료 발생] [F_0024] 콜라
[22:27:31] [만료 발생] [E_0022] 컵라면
[22:27:31] [만료 발생] [A_0025] 김밥
[22:27:31] [만료 발생] [E_0023] 컵라면
[22:27:31] [만료 발생] [A_0028] 김밥
[22:27:31] [만료 발생] [E_0024] 컵라면
[22:27:31] [만료 발생] [F_0029] 콜라
[22:27:31] [만료 발생] [C_0020] 우유
[22:27:31] [만료 발생] [F_0031] 콜라
[22:27:31] [만료 발생] [G_0019] 생수
[22:27:31] [만료 발생] [I_0025] 아이스크림
[22:27:31] [만료 발생] [H_0020] 과자
[22:27:31] [만료 발생] [C_0022] 우유
[22:27:31] [만료 발생] [B_0018] 샌드위치
[22:27:31] [만료 발생] [D_0017] 도시락
[22:27:31] [만료 발생] [D_0019] 도시락
[22:27:31] [만료 발생] [B_0019] 샌드위치
[22:27:31] [만료 발생] [F_0034] 콜라
[22:27:31] [만료 발생] [F_0035] 콜라
[22:27:31] [만료 발생] [H_0023] 과자
[22:27:31] [만료 발생] [E_0028] 컵라면
[22:27:31] [만료 발생] [E_0030] 컵라면
[22:27:31] [만료 발생] [D_0025] 도시락
[22:27:31] [만료 발생] [B_0021] 샌드위치
[22:27:31] [만료 발생] [H_0027] 과자
